src,dst,weight
Moonbasking,HiramHawk,1
brutuslaurentius,RealTrumpTweets,1
WaitWatchSee,OldeDutch,1
WaitWatchSee,DeplorableSpirit,1
PaesurBiey,DelilahMcIntosh,1
CajunTexan,RealTrumpTweets,1
OldeDutch,DeplorableSpirit,1
PaesurBiey,leadguitar,3
MikeinDFW,Sheepster,3
Mdonato48,Soft_Power_Thinker,1
AnonymousFred514,Escoffier,2
PaesurBiey,Larry63,78
Moonbasking,Mdonato48,1
GuardAmerican,GuardAmerican,14
GuardAmerican,Primate_Doc,17
WaitWatchSee,WaitWatchSee,1
MikeinDFW,Soft_Power_Thinker,2
MikeinDFW,duanes,1
Timisfamous,WaitWatchSee,3
Escoffier,AnonymousFred514,1
MikeinDFW,wirelessguru1,3
Cocoabear,RealTrumpTweets,1
Moonbasking,angusyoung,2
MikeinDFW,EEJinLV,1
ROCKintheUSSA,TStephen,1
GuardAmerican,NHN,7
ChrisW,HickTick,1
AnonymousFred514,MadJewessWoman,1
Moonbasking,essexgirl,5
AnonymousFred514,NHN,3
GuardAmerican,Escoffier,2
Georuff,Joe-Miller,1
ROCKintheUSSA,MadJewessWoman,2
Escoffier,GuardAmerican,3
JustVoteNo,RealTrumpTweets,1
AnonymousFred514,GuardAmerican,9
WaitWatchSee,NHN,1
PaesurBiey,free2bvee,1
Escoffier,NHN,1
GuardAmerican,AnonymousFred514,5
SoaringNow,RealTrumpTweets,1
Moonbasking,LIttle_Buddy,5
Larry63,PaesurBiey,91
WaitWatchSee,Timisfamous,1
Moonbasking,RealTrumpTweets,1
GuardAmerican,KMFL,1
DeplorableSurfer,wirelessguru1,1
Moonbasking,MungoJack,3
ChrisW,GadflyM,1
ChrisW,DeplorableSpirit,1
OldeDutch,Joe-Miller,1
Moonbasking,BarryDagutis,1
UnrepentantDeplorable,wirelessguru1,3
Quartermaster,Joe-Miller,1
PaesurBiey,CrawfishFestival,1
PaesurBiey,dmc2,1
PaesurBiey,wirelessguru1,10
Moonbasking,Joe-Miller,1
DeplorableSurfer,Hettman,1
TheDailyStir,RealTrumpTweets,1
bbeeaann,MadJewessWoman,1
Moonbasking,Hossfly,1
jimbostj15,RealTrumpTweets,1
