Source,Target,weight
jimbostj15,LMJ,1
qoheleth,TukkRivers,1
jimbostj15,jetdrvr,1
kashtanka,FreeSour,2
FreeAgent355,Webfroggin,1
jimbostj15,TeriDavisNewman,1
NoBS4U,TukkRivers,1
LivingFree,USMC-DevilDog,1
toddwieland,USMC-DevilDog,1
SteveLove4All,SteveLove4All,2
NoBS4U,Tuscan927,1
CMayhew,CMayhew,14
LCMB,LCMB,1
alcade,MrMelomel,1
jimbostj15,HighPriestess,1
MDOrleans,PepeFarmRemembers,1
kashtanka,milinda,1
MrMelomel,Wolfmates,1
milinda,milinda,2
toddwieland,Marymaryquitecontrary,1
jimbostj15,DecodingSatan,1
jimbostj15,bbarian,2
milinda,kashtanka,1
The_West_Is_The_Best,HighPriestess,1
MDOrleans,Rosalyn,1
RadioInfidelShow,wocassity,1
CMayhew,BGKB,36
jimbostj15,USMC-DevilDog,1
AubreyLaVentana,HighPriestess,1
CMayhew,Spnn2372,56
RaviCrux,Sidephase,1
JustNews,Shepherd,1
Trinacria,USMC-DevilDog,1
jimbostj15,The_West_Is_The_Best,1
MrMelomel,tonyr951,1
NoBS4U,Secftblgirl,1
NitroZeuss,USMC-DevilDog,1
JustNews,Robin_Hood,1
TheDilge,Wolfmates,1
WarAtTheZoo,OurCountryFirst,1
GSMenace,fullhive,1
jetdrvr,bbarian,1
Mbarris01,FreeSour,1
jetdrvr,FreeSour,1
jetdrvr,airborne,1
GSMenace,OurCountryFirst,1
SteveLove4All,Tuscan927,1
jetdrvr,jimbostj15,1
jimbostj15,notdeplorableone,1
ServingYeshua,Horata,1
SteveLove4All,dogdays,1
Kathyd51,FreeSour,1
CLAUDIA,LMJ,1
P3alm23,LMJ,1
jetdrvr,notdeplorableone,1
GSMenace,SmittyIII,1
jetdrvr,LMJ,1
LMJ,USMC-DevilDog,1
Reality_and_Truth,TheRealDonaldTrump45,5
CherryFyre,GTG,1
musical1inUS,Rapist,1
Chuckinv,BlueGood,1
Ontarible,SchnauzersRgr8,1
musical1inUS,USMC-DevilDog,1
jetdrvr,GTG,1
Reality_and_Truth,Akatomdavis,1
musical1inUS,nightflight,1
BlueDamsel,USMC-DevilDog,1
Don,TruthKeeper,1
MDOrleans,chadkanera,1
Reality_and_Truth,nightflight,4
Don,Don,2
5Strat,chadkanera,2
SteveLove4All,easyearl,1
Chuckinv,Don,1
James_K_Glass,Kek_Magician,1
ICEBORDERS,W0KEK,1
SteveLove4All,therealgregg,1
toddwieland,RealPresidentTrump,1
Chuckinv,Chuckinv,2
NoBS4U,SilentGrace,1
5Strat,Jacobson,1
MyOwnPrivateDomicile,Shepherd,1
SattvaNisha,Kek_Magician,1
bgreengrove,AlwaysLiberty,1
RockinUSA,Trinacria,1
Kekromancer,tonyr951,1
5Strat,5Strat,1
5Strat,TukkRivers,3
RockinUSA,Partyzantski,2
jimbostj15,TukkRivers,1
RockinUSA,darkgarx,1
Chuckinv,FreeTheMind,1
NoBS4U,Eddhowes1,1
Chuckinv,AlwaysLiberty,1
Pensive_Daddy,FreeSour,1
ICEBORDERS,TukkRivers,1
RockinUSA,RockinUSA,29
toddwieland,TukkRivers,6
Trinacria,Partyzantski,1
SteveLove4All,breadmoth,1
Chuckinv,Emmyclark2,1
Trinacria,RockinUSA,2
5PY_HUN73R,therealgregg,1
Trinacria,TukkRivers,1
SteveLove4All,Fedeliskrieg,1
DeplorableTillman,Fedeliskrieg,1
Zophiel,Kek_Magician,1
gabrielpate,TukkRivers,1
ServingYeshua,tacsgc,2
Pig4801kj,Fedeliskrieg,1
skyladawn,CreateDisclosure,1
Kekromancer,NottaLibtard,2
tacsgc,ceresee,6
W0KEK,Kek_Magician,1
jimbostj15,FreeSour,2
DesertFoxMulder,Fedeliskrieg,1
CriscraftID,RadioInfidelShow,1
ServingYeshua,ceresee,2
CriscraftID,Ziiggii,1
Kekromancer,rare_pepe,8
BobUSA_1,bdp,1
tacsgc,tacsgc,8
Dago,Fibesboy,1
andieiamwhoiam,Fedeliskrieg,1
Kekromancer,Kek_Magician,1
tacsgc,Were-Puppy,1
Kekromancer,Kekromancer,14
5Strat,Kek_Magician,1
Kekromancer,Obamascokedealer,4
Kekromancer,TheRealDonaldTrump45,29
BobUSA_1,5Strat,1
BobUSA_1,Kek_Magician,2
SteveLove4All,Pig4801kj,1
CriscraftID,NoLongerIgnored,1
supersaiyanpatriot,Fedeliskrieg,1
NoBS4U,innocuous,2
ZombieElle,HighPriestess,1
Atreyu,TukkRivers,1
NoBS4U,Shambala,1
PepeFarmRemembers,RockinUSA,1
CreateDisclosure,HighPriestess,1
TFL1728,StarPrincess,1
RaviCrux,a,1
BlueGood,Don,1
Jami_USA,Terrorismwatch,1
Michaelle,Newroodawg1971,1
GTG,fullhive,1
11C1P,grados,2
jillybeangibson,a,1
BillBarilko5,Manga-n,2
BillBarilko5,CORRUPTION_OVERLOAD,1
CreateDisclosure,caroljohns827,1
talktoyou,MelMax,1
11C1P,Manga-n,2
JesusMaryJoseph,MadJewessWoman,1
musical1inUS,Boodang,1
BillBarilko5,truthwhisper,1
Pensive_Daddy,Fibesboy,1
Sidephase,a,1
shadesofsilver,StarPrincess,1
Deucalion_,Trabidius,1
therealgregg,a,1
ManweSulimo828,TheRealDonaldTrump45,1
GB32756,ArtConway,1
Deucalion_,Deucalion_,5
BillBarilko5,grados,2
mjag,grados,2
qoheleth,WineNotWhine,1
NoBS4U,Kek_Magician,1
Michaelle,StanleyBolten,2
ZombieElle,Don-tTreadOnMe,1
talktoyou,Deucalion_,3
mjag,Manga-n,2
StephenClayMcGehee,a,1
ubaserious2,Fedeliskrieg,1
NoBS4U,Thepalmierireport,2
Deucalion_,a,1
RockinUSA,DyersEve,1
MyOwnPrivateDomicile,Kek_Magician,1
therealgregg,Teddi,1
RockinUSA,Stopthemadness,1
NoBS4U,TheRealDonaldTrump45,17
talktoyou,BiglySpeaks,1
5PY_HUN73R,PepeFarmRemembers,1
ZombieElle,USMC-DevilDog,1
Mbarris01,Mbarris01,1
Ontarible,Fibesboy,1
talktoyou,fullhive,1
Michaelle,a,1
ThatConfused1,MadJewessWoman,1
RockinUSA,britschdds,1
mjag,CORRUPTION_OVERLOAD,1
11C1P,truthwhisper,1
TFL1728,Tuscan927,1
truthwhisper,CORRUPTION_OVERLOAD,1
talktoyou,HighPriestess,1
Jami_USA,PepeFarmRemembers,1
5Strat,a,3
11C1P,CORRUPTION_OVERLOAD,1
talktoyou,Fedeliskrieg,1
Mbarris01,HopeForTheBest,1
5PY_HUN73R,MikeinDFW,1
tacsgc,MountainGirl543,1
Jami_USA,SecondUSRevolt,1
Michaelle,RDFloyd,3
truthwhisper,grados,2
Pensive_Daddy,Paul47,1
5PY_HUN73R,5PY_HUN73R,1
talktoyou,GTG,1
truthwhisper,Manga-n,2
tcurry48,Deucalion_,1
HillarysFace,TheRealDonaldTrump45,1
tatichip,Bird2017,1
Ron-Shackleford,eb73,1
tacsgc,BOBOFkake,1
ShowMeDontTellMe,Don,4
ShowMeDontTellMe,ShowMeDontTellMe,5
ShowMeDontTellMe,Defender,1
Irk,Fedeliskrieg,1
tacsgc,SpoogeDragon420,1
TJMadison,5Strat,1
PepperPotts,chadkanera,1
TheDarkWizard,a,1
ShowMeDontTellMe,FalconNest,1
tatichip,Saintsnsinners,1
dleetr,Techman0,1
MicroRando,TheRealDonaldTrump45,1
tatichip,DecodingSatan,1
a,a,1
ShowMeDontTellMe,W0KEK,1
beaux,tonyr951,1
TJMadison,Fedeliskrieg,1
SecondUSRevolt,USMC-DevilDog,1
BavarianBumpkin,NoOneEver,1
NoBS4U,Jaycephus,5
HighPriestess,HighPriestess,1
TedHong,USMC-DevilDog,1
BavarianBumpkin,CLAUDIA,1
NoBS4U,nacazo,8
dleetr,HighPriestess,1
Rabuliz,NotMyUserName,1
TedHong,Don-tTreadOnMe,1
NitroZeuss,Pholic,1
MDOrleans,truthwhisper,1
Don,suera,1
tcurry48,SamuelNock,1
11C1P,HighPriestess,1
HERALDofYAH,USMC-DevilDog,1
The_West_Is_The_Best,mememymy,1
The_West_Is_The_Best,TheThunderGod,1
Don-tTreadOnMe,Fedeliskrieg,1
jetdrvr,HighPriestess,1
