Source,Target,Type,weight
service,disgusted,Undirected,1.0
ikea,disgusted,Undirected,1.0
leeds,disgusted,Undirected,1.0
waiting,excited,Undirected,1.0
door,excited,Undirected,1.0
delivery,excited,Undirected,1.0
furniture,excited,Undirected,1.0
really,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
spent,disappointed,Undirected,1.0
store,disappointed,Undirected,1.0
today,disappointed,Undirected,1.0
closest,disappointed,Undirected,1.0
store,disappointed,Undirected,1.0
rather,disappointed,Undirected,1.0
second,disappointed,Undirected,1.0
trip,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
service,disappointed,Undirected,1.0
answer,disappointed,Undirected,1.0
telephone,disappointed,Undirected,1.0
yet,disappointed,Undirected,1.0
receive,disappointed,Undirected,1.0
big,disappointed,Undirected,1.0
fan,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
linen,disappointed,Undirected,1.0
pillowcases,disappointed,Undirected,1.0
bought,disappointed,Undirected,1.0
cheese,disappointed,Undirected,1.0
pineapple,disappointed,Undirected,1.0
bread,disappointed,Undirected,1.0
extremely,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
wanted,disappointed,Undirected,1.0
corn,disappointed,Undirected,1.0
husband,disappointed,Undirected,1.0
going,disappointed,Undirected,1.0
message,disappointed,Undirected,1.0
expensive,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
cost,disappointed,Undirected,1.0
deeply,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
cancelled,disappointed,Undirected,1.0
top,disappointed,Undirected,1.0
customer,unhappy,Undirected,1.0
faulty,unhappy,Undirected,1.0
items,unhappy,Undirected,1.0
really,disappointed,Undirected,1.0
get,disappointed,Undirected,1.0
home,disappointed,Undirected,1.0
spending,disappointed,Undirected,1.0
big,disappointed,Undirected,1.0
fan,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
linen,disappointed,Undirected,1.0
pillowcases,disappointed,Undirected,1.0
bought,disappointed,Undirected,1.0
extremely,disappointed,Undirected,1.0
amp,disappointed,Undirected,1.0
angry,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
extremely,angry,Undirected,1.0
disappointed,angry,Undirected,1.0
amp,angry,Undirected,1.0
delivery,angry,Undirected,1.0
tuesday,angry,Undirected,1.0
amp,angry,Undirected,1.0
sorted,happy,Undirected,1.0
return,happy,Undirected,1.0
store,happy,Undirected,1.0
expense,happy,Undirected,1.0
service,disgusted,Undirected,1.0
ikea,disgusted,Undirected,1.0
leeds,disgusted,Undirected,1.0
waiting,excited,Undirected,1.0
door,excited,Undirected,1.0
delivery,excited,Undirected,1.0
furniture,excited,Undirected,1.0
really,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
spent,disappointed,Undirected,1.0
store,disappointed,Undirected,1.0
today,disappointed,Undirected,1.0
closest,disappointed,Undirected,1.0
store,disappointed,Undirected,1.0
rather,disappointed,Undirected,1.0
second,disappointed,Undirected,1.0
trip,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
service,disappointed,Undirected,1.0
answer,disappointed,Undirected,1.0
telephone,disappointed,Undirected,1.0
yet,disappointed,Undirected,1.0
receive,disappointed,Undirected,1.0
big,disappointed,Undirected,1.0
fan,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
linen,disappointed,Undirected,1.0
pillowcases,disappointed,Undirected,1.0
bought,disappointed,Undirected,1.0
cheese,disappointed,Undirected,1.0
pineapple,disappointed,Undirected,1.0
bread,disappointed,Undirected,1.0
extremely,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
wanted,disappointed,Undirected,1.0
corn,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
due,disappointed,Undirected,1.0
today,disappointed,Undirected,1.0
service,dissatisfied,Undirected,1.0
want,dissatisfied,Undirected,1.0
full,dissatisfied,Undirected,1.0
stole,frustrated,Undirected,1.0
order,frustrated,Undirected,1.0
weeks,frustrated,Undirected,1.0
quick,frustrated,Undirected,1.0
collect,frustrated,Undirected,1.0
money,frustrated,Undirected,1.0
able,happy,Undirected,1.0
work,happy,Undirected,1.0
months,happy,Undirected,1.0
delivery,disappointed,Undirected,1.0
changed,disappointed,Undirected,1.0
night,disappointed,Undirected,1.0
absolutely,disgusted,Undirected,1.0
website,disgusted,Undirected,1.0
customer,disgusted,Undirected,1.0
service,disgusted,Undirected,1.0
made,threatened,Undirected,1.0
feel,threatened,Undirected,1.0
homes,threatened,Undirected,1.0
simple,threatened,Undirected,1.0
delivery,threatened,Undirected,1.0
homes,shocked,Undirected,1.0
simple,shocked,Undirected,1.0
delivery,shocked,Undirected,1.0
disgusted,shocked,Undirected,1.0
taking,shocked,Undirected,1.0
expect,shocked,Undirected,1.0
simple,disgusted,Undirected,1.0
delivery,disgusted,Undirected,1.0
shocked,disgusted,Undirected,1.0
taking,disgusted,Undirected,1.0
expect,disgusted,Undirected,1.0
handled,disgusted,Undirected,1.0
absolutely,disgusted,Undirected,1.0
service,disgusted,Undirected,1.0
received,disgusted,Undirected,1.0
front,disgusted,Undirected,1.0
really,disappointed,Undirected,1.0
refused,disappointed,Undirected,1.0
pop,disappointed,Undirected,1.0
upstairs,disappointed,Undirected,1.0
properly,disappointed,Undirected,1.0
guys,disappointed,Undirected,1.0
today,disappointed,Undirected,1.0
delivered,disappointed,Undirected,1.0
honestly,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
customer,disappointed,Undirected,1.0
service,disappointed,Undirected,1.0
really,happy,Undirected,1.0
original,happy,Undirected,1.0
delivery,happy,Undirected,1.0
date,happy,Undirected,1.0
changed,disgusted,Undirected,1.0
happening,disgusted,Undirected,1.0
really,disgusted,Undirected,1.0
offer,disgusted,Undirected,1.0
compensation,disgusted,Undirected,1.0
gesture,disgusted,Undirected,1.0
delivery,shocked,Undirected,1.0
notice,shocked,Undirected,1.0
changed,shocked,Undirected,1.0
ideas,lovely,Undirected,1.0
create,lovely,Undirected,1.0
wow,lovely,Undirected,1.0
item,embarrassed,Undirected,1.0
order,embarrassed,Undirected,1.0
explanation,embarrassed,Undirected,1.0
swedish,embarrassed,Undirected,1.0
ikea,embarrassed,Undirected,1.0
named,happy,Undirected,1.0
marcus,happy,Undirected,1.0
told,happy,Undirected,1.0
lose,happy,Undirected,1.0
sales,happy,Undirected,1.0
amp,happy,Undirected,1.0
communication,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
coming,disappointed,Undirected,1.0
terminated,unhappy,Undirected,1.0
automatically,unhappy,Undirected,1.0
extremely,unhappy,Undirected,1.0
amp,frustrated,Undirected,1.0
disappointed,frustrated,Undirected,1.0
rather,frustrated,Undirected,1.0
frustrated,disappointed,Undirected,1.0
amp,disappointed,Undirected,1.0
rather,disappointed,Undirected,1.0
nice,disappointed,Undirected,1.0
plant,disappointed,Undirected,1.0
nice,lovely,Undirected,1.0
plant,lovely,Undirected,1.0
stand,lovely,Undirected,1.0
bonsai,lovely,Undirected,1.0
plants,lovely,Undirected,1.0
amp,lovely,Undirected,1.0
customer,disappointed,Undirected,1.0
services,disappointed,Undirected,1.0
reading,disappointed,Undirected,1.0
get,angry,Undirected,1.0
customer,angry,Undirected,1.0
service,angry,Undirected,1.0
customer,angry,Undirected,1.0
cross,lovely,Undirected,1.0
wrong,lovely,Undirected,1.0
company,lovely,Undirected,1.0
support,lovely,Undirected,1.0
consultant,lovely,Undirected,1.0
lost,frustrated,Undirected,1.0
plan,frustrated,Undirected,1.0
beyond,frustrated,Undirected,1.0
upset,frustrated,Undirected,1.0
feel,frustrated,Undirected,1.0
brand,frustrated,Undirected,1.0
plan,upset,Undirected,1.0
beyond,upset,Undirected,1.0
frustrated,upset,Undirected,1.0
feel,upset,Undirected,1.0
brand,upset,Undirected,1.0
loved,upset,Undirected,1.0
yet,frustrated,Undirected,1.0
still,frustrated,Undirected,1.0
message,frustrated,Undirected,1.0
salads,disappointed,Undirected,1.0
sea,disappointed,Undirected,1.0
food,disappointed,Undirected,1.0
three,concern,Undirected,1.0
weeks,concern,Undirected,1.0
may,concern,Undirected,1.0
one,concern,Undirected,1.0
references,concern,Undirected,1.0
linked,concern,Undirected,1.0
ages,happy,Undirected,1.0
phone,happy,Undirected,1.0
get,happy,Undirected,1.0
refund,happy,Undirected,1.0
purchase,happy,Undirected,1.0
spend,happy,Undirected,1.0
service,disgusted,Undirected,1.0
ikea,disgusted,Undirected,1.0
leeds,disgusted,Undirected,1.0
waiting,excited,Undirected,1.0
door,excited,Undirected,1.0
delivery,excited,Undirected,1.0
furniture,excited,Undirected,1.0
coming,disappointed,Undirected,1.0
error,disappointed,Undirected,1.0
messages,disappointed,Undirected,1.0
service,disappointed,Undirected,1.0
dont,disappointed,Undirected,1.0
even,disappointed,Undirected,1.0
items,disappointed,Undirected,1.0
kind,disappointed,Undirected,1.0
company,disappointed,Undirected,1.0
pooroperations,disappointed,Undirected,1.0
nocustomerrespect,disappointed,Undirected,1.0
neveragain,disappointed,Undirected,1.0
offline,amazed,Undirected,1.0
call,amazed,Undirected,1.0
support,amazed,Undirected,1.0
isnt,ashamed,Undirected,1.0
awful,ashamed,Undirected,1.0
really,ashamed,Undirected,1.0
poor,ashamed,Undirected,1.0
service,ashamed,Undirected,1.0
given,ashamed,Undirected,1.0
really,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
spent,disappointed,Undirected,1.0
store,disappointed,Undirected,1.0
really,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
spent,disappointed,Undirected,1.0
store,disappointed,Undirected,1.0
really,disappointed,Undirected,1.0
good,disappointed,Undirected,1.0
enough,disappointed,Undirected,1.0
ways,disappointed,Undirected,1.0
spending,disappointed,Undirected,1.0
evening,disappointed,Undirected,1.0
customerservice,disappointed,Undirected,1.0
bad,disgusted,Undirected,1.0
customer,disgusted,Undirected,1.0
service,disgusted,Undirected,1.0
really,disappointed,Undirected,1.0
annoyed,disappointed,Undirected,1.0
services,disappointed,Undirected,1.0
communication,disappointed,Undirected,1.0
made,threatened,Undirected,1.0
feel,threatened,Undirected,1.0
homes,threatened,Undirected,1.0
simple,threatened,Undirected,1.0
delivery,threatened,Undirected,1.0
homes,shocked,Undirected,1.0
simple,shocked,Undirected,1.0
delivery,shocked,Undirected,1.0
disgusted,shocked,Undirected,1.0
taking,shocked,Undirected,1.0
expect,shocked,Undirected,1.0
simple,disgusted,Undirected,1.0
delivery,disgusted,Undirected,1.0
shocked,disgusted,Undirected,1.0
taking,disgusted,Undirected,1.0
expect,disgusted,Undirected,1.0
handled,disgusted,Undirected,1.0
absolutely,disgusted,Undirected,1.0
service,disgusted,Undirected,1.0
received,disgusted,Undirected,1.0
front,disgusted,Undirected,1.0
never,disappointed,Undirected,1.0
felt,disappointed,Undirected,1.0
soooo,disappointed,Undirected,1.0
ikea,disappointed,Undirected,1.0
ever,disappointed,Undirected,1.0
happened,disappointed,Undirected,1.0
lot,happy,Undirected,1.0
fitters,happy,Undirected,1.0
come,happy,Undirected,1.0
says,happy,Undirected,1.0
claire,happy,Undirected,1.0
tripp,happy,Undirected,1.0
confirm,happy,Undirected,1.0
new,happy,Undirected,1.0
delivery,happy,Undirected,1.0
says,happy,Undirected,1.0
claire,happy,Undirected,1.0
tripp,happy,Undirected,1.0
confirm,happy,Undirected,1.0
new,happy,Undirected,1.0
delivery,happy,Undirected,1.0
slightly,disappointed,Undirected,1.0
upon,disappointed,Undirected,1.0
opening,disappointed,Undirected,1.0
item,disappointed,Undirected,1.0
communication,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
coming,disappointed,Undirected,1.0
complaint,upset,Undirected,1.0
please,upset,Undirected,1.0
quite,upset,Undirected,1.0
get,angry,Undirected,1.0
customer,angry,Undirected,1.0
service,angry,Undirected,1.0
customer,angry,Undirected,1.0
sleep,happy,Undirected,1.0
another,happy,Undirected,1.0
week,happy,Undirected,1.0
times,happy,Undirected,1.0
waited,happy,Undirected,1.0
hours,happy,Undirected,1.0
camper,happy,Undirected,1.0
husband,disappointed,Undirected,1.0
going,disappointed,Undirected,1.0
message,disappointed,Undirected,1.0
expensive,disappointed,Undirected,1.0
delivery,disappointed,Undirected,1.0
cost,disappointed,Undirected,1.0
sat,amused,Undirected,1.0
