id,label
lack,lack
manager,manager
sleep,sleep
query,query
young,young
dissatisfied,dissatisfied
worth,worth
indicating,indicating
case,case
fan,fan
awful,awful
severely,severely
leave,leave
item,item
soooo,soooo
quick,quick
says,says
specially,specially
second,second
cost,cost
even,even
deeply,deeply
pleased,pleased
unhelpful,unhelpful
waiting,waiting
new,new
ever,ever
told,told
full,full
grandparents,grandparents
never,never
hours,hours
leeds,leeds
change,change
great,great
receive,receive
items,items
changed,changed
experience,experience
products,products
named,named
love,love
family,family
extra,extra
manage,manage
privately,privately
unit,unit
use,use
takes,takes
angry,angry
contains,contains
two,two
next,next
call,call
today,today
door,door
company,company
getting,getting
chocolate,chocolate
phone,phone
ashamed,ashamed
customer,customer
join,join
room,room
work,work
arrangements,arrangements
confused,confused
accept,accept
pieces,pieces
want,want
stole,stole
swedish,swedish
information,information
needs,needs
sit,sit
rather,rather
sunday,sunday
neveragain,neveragain
answer,answer
faulty,faulty
bonsai,bonsai
plant,plant
may,may
advice,advice
disgusted,disgusted
wrong,wrong
coming,coming
date,date
guys,guys
response,response
purchase,purchase
linen,linen
claire,claire
honestly,honestly
furious,furious
worst,worst
order,order
gesture,gesture
refund,refund
help,help
sooo,sooo
pillowcases,pillowcases
isnt,isnt
still,still
lovelies,lovelies
bunch,bunch
crew,crew
late,late
willing,willing
weeks,weeks
holiday,holiday
happened,happened
eventually,eventually
coffee,coffee
good,good
return,return
food,food
bothering,bothering
half,half
front,front
sorted,sorted
nov,nov
day,day
bread,bread
wont,wont
marcus,marcus
shocking,shocking
everyone,everyone
upstairs,upstairs
house,house
idea,idea
expect,expect
signage,signage
beyond,beyond
salads,salads
event,event
really,really
looking,looking
got,got
offline,offline
receiving,receiving
issue,issue
driver,driver
threatened,threatened
quite,quite
small,small
members,members
put,put
wanted,wanted
care,care
messages,messages
times,times
place,place
hopeless,hopeless
messaged,messaged
think,think
waited,waited
first,first
cheese,cheese
dont,dont
feel,feel
one,one
embarrassed,embarrassed
another,another
message,message
drove,drove
quality,quality
given,given
management,management
service,service
top,top
fitters,fitters
way,way
hub,hub
explanation,explanation
sortitout,sortitout
forward,forward
specify,specify
loved,loved
kind,kind
bed,bed
compensation,compensation
store,store
feeling,feeling
wasnt,wasnt
ages,ages
say,say
seem,seem
saw,saw
linked,linked
sat,sat
genuine,genuine
able,able
ideas,ideas
shocked,shocked
also,also
chest,chest
useless,useless
online,online
brand,brand
gravy,gravy
petrol,petrol
camper,camper
paid,paid
hired,hired
plan,plan
services,services
extremely,extremely
unacceptible,unacceptible
upset,upset
looked,looked
pineapple,pineapple
senior,senior
annoyed,annoyed
infuriate,infuriate
implying,implying
brink,brink
staff,staff
unhappy,unhappy
going,going
dontuseikeadelivery,dontuseikeadelivery
meant,meant
get,get
report,report
worried,worried
twice,twice
bad,bad
miles,miles
husband,husband
see,see
sea,sea
concern,concern
expert,expert
ways,ways
wow,wow
opening,opening
please,please
birds,birds
enough,enough
unable,unable
horrible,horrible
reading,reading
frustrated,frustrated
bought,bought
notice,notice
missing,missing
sold,sold
deliver,deliver
job,job
livelagom,livelagom
separately,separately
come,come
received,received
dates,dates
empathy,empathy
many,many
taking,taking
waisted,waisted
threads,threads
expense,expense
asked,asked
exemplary,exemplary
expendable,expendable
simple,simple
tuesday,tuesday
pop,pop
table,table
expensive,expensive
speak,speak
cares,cares
create,create
three,three
lovely,lovely
empty,empty
website,website
shopping,shopping
else,else
prices,prices
plants,plants
homes,homes
publicly,publicly
consultant,consultant
evening,evening
error,error
cancelled,cancelled
find,find
alcoholic,alcoholic
telephone,telephone
encountered,encountered
cant,cant
someone,someone
damaged,damaged
anymore,anymore
cross,cross
highlighted,highlighted
week,week
closest,closest
pooroperations,pooroperations
upon,upon
kallax,kallax
ikea,ikea
totally,totally
euro,euro
spent,spent
firstly,firstly
model,model
spend,spend
amazed,amazed
charged,charged
stores,stores
increasingly,increasingly
money,money
thanks,thanks
touch,touch
alternative,alternative
yet,yet
seems,seems
instructions,instructions
excited,excited
build,build
resolved,resolved
complaint,complaint
big,big
community,community
amp,amp
disappointed,disappointed
furniture,furniture
lost,lost
sofa,sofa
instore,instore
sized,sized
collect,collect
night,night
privalged,privalged
people,people
absolutely,absolutely
back,back
palm,palm
home,home
delivered,delivered
confirm,confirm
positivity,positivity
everything,everything
screwed,screwed
corn,corn
lose,lose
rug,rug
refused,refused
stellar,stellar
patronising,patronising
super,super
handled,handled
inedible,inedible
package,package
months,months
eveningyou,eveningyou
stand,stand
gingerbread,gingerbread
slightly,slightly
hospital,hospital
automatically,automatically
unsustainable,unsustainable
garbage,garbage
communication,communication
wembleys,wembleys
delighted,delighted
due,due
references,references
couldnt,couldnt
alison,alison
stillwaiting,stillwaiting
terminated,terminated
van,van
entitlement,entitlement
spending,spending
assumed,assumed
support,support
long,long
start,start
lot,lot
nocustomerrespect,nocustomerrespect
happy,happy
buy,buy
complete,complete
offer,offer
becoming,becoming
cabinet,cabinet
delivery,delivery
properly,properly
posted,posted
info,info
made,made
customerservice,customerservice
places,places
morning,morning
smashed,smashed
tripp,tripp
ordered,ordered
sales,sales
trip,trip
incorrect,incorrect
beaming,beaming
saturday,saturday
incredibly,incredibly
nice,nice
poor,poor
provided,provided
symbol,symbol
felt,felt
utterly,utterly
weekend,weekend
happening,happening
calls,calls
amused,amused
time,time
original,original
