barrio_codigo;barrio_nombre;distrito_codigo;distrito_nombre;municipio_codigo;municipio_nombre;superficie_km2;densidad_por_km2
0796011;        Palacio;079601;    Centro ;0796;Madrid;1.46;15323.29
0796012;        Embajadores;079601;    Centro ;0796;Madrid;1.03;43345.63
0796013;        Cortes;079601;    Centro ;0796;Madrid;0.59;17850.85
0796014;        Justicia;079601;    Centro ;0796;Madrid;0.75;21866.67
0796015;        Universidad;079601;    Centro ;0796;Madrid;0.93;33051.61
0796016;        Sol;079601;    Centro ;0796;Madrid;0.45;16304.44
0796021;        Imperial;079602;    Arganzuela ;0796;Madrid;0.98;23105.10
0796022;        Las Acacias;079602;    Arganzuela ;0796;Madrid;1.10;33318.18
0796023;        La Chopera;079602;    Arganzuela ;0796;Madrid;0.56;35276.79
0796024;        Legazpi;079602;    Arganzuela ;0796;Madrid;1.37;13826.28
0796025;        Delicias;079602;    Arganzuela ;0796;Madrid;1.07;25485.05
0796026;        Palos de Moguer;079602;    Arganzuela ;0796;Madrid;0.65;39372.31
0796027;        Atocha;079602;    Arganzuela ;0796;Madrid;0.79;1401.27
0796031;        Pacífico;079603;    Retiro ;0796;Madrid;0.76;44271.05
0796032;        Adelfas;079603;    Retiro ;0796;Madrid;0.61;29750.82
0796033;        Estrella;079603;    Retiro ;0796;Madrid;1.02;22701.96
0796034;        Ibiza;079603;    Retiro ;0796;Madrid;0.50;42698.00
0796035;        Jerónimos;079603;    Retiro ;0796;Madrid;1.89;3730.69
0796036;        Niño Jesús;079603;    Retiro ;0796;Madrid;0.64;23706.25
0796041;        Recoletos;079604;    Salamanca ;0796;Madrid;0.87;17828.74
0796042;        Goya;079604;    Salamanca ;0796;Madrid;0.77;38016.88
0796043;        Fuente del Berro;079604;    Salamanca ;0796;Madrid;0.83;24812.05
0796044;        Guindalera;079604;    Salamanca ;0796;Madrid;1.58;25740.51
0796045;        Lista;079604;    Salamanca ;0796;Madrid;0.54;38435.19
0796046;        Castellana;079604;    Salamanca ;0796;Madrid;0.77;22090.91
0796051;        El Viso;079605;    Chamartín ;0796;Madrid;1.72;9911.63
0796052;        Prosperidad;079605;    Chamartín ;0796;Madrid;1.01;35740.59
