OBJECTID,IDTRAMO,FECHAACTUAL,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
1,4_336284_278__755_I,20150709,4,336284,102,10b,1,1,278,,755,7,TI,I,LA GRANJA,28,006,ALCOBENDAS,B1,Calle de Sepúlveda N 1,20070425,20070426,,2061.13450920886,37.18,4,93,247,,,4__10_B____1_IT_1_4_278__755_TI_I_7,,,,4__10_B__,4__10_B____1_IT_1,4_278,4_278_,4_278_755
2,4_336285_278__756_I,20150709,4,336285,102,10b,2,1,278,,756,5,TI,I,LA GRANJA,28,006,ALCOBENDAS,B1,Calle de Sepúlveda N 1,20070425,20070426,,1497.63319892205,37.18,4,93,247,,,4__10_B____2_IT_1_4_278__756_TI_I_5,,,,4__10_B__,4__10_B____2_IT_1,4_278,4_278_,4_278_756
3,4_336284_279__757_I,20150709,4,336284,102,10b,1,1,279,,757,6,TI,I,LA MORALEJA,28,006,ALCOBENDAS,B1,Avda de la Ermita N 5,20070425,20070426,,1325.80051622755,37.18,4,93,249,,,4__10_B____1_IT_1_4_279__757_TI_I_6,,,,4__10_B__,4__10_B____1_IT_1,4_279,4_279_,4_279_757
4,4_336285_279__758_I,20150709,4,336285,102,10b,2,1,279,,758,6,TI,I,LA MORALEJA,28,006,ALCOBENDAS,B1,Avda de la Ermita N 5,20070425,20070426,,2057.30287248666,37.18,4,93,249,,,4__10_B____2_IT_1_4_279__758_TI_I_6,,,,4__10_B__,4__10_B____2_IT_1,4_279,4_279_,4_279_758
5,4_336284_280__759_I,20150709,4,336284,102,10b,1,1,280,,759,5,TI,I,MARQUES DE LA VALDAVIA,28,006,ALCOBENDAS,B1,Calle del Marqués de la Valdavia BLQ 21,20070425,20070426,,1514.58431713643,37.18,4,93,268,,,4__10_B____1_IT_1_4_280__759_TI_I_5,,,,4__10_B__,4__10_B____1_IT_1,4_280,4_280_,4_280_759
6,4_336285_280__760_I,20150709,4,336285,102,10b,2,1,280,,760,7,TI,I,MARQUES DE LA VALDAVIA,28,006,ALCOBENDAS,B1,Calle del Marqués de la Valdavia BLQ 21,20070425,20070426,,1319.07449855973,37.18,4,93,268,,,4__10_B____2_IT_1_4_280__760_TI_I_7,,,,4__10_B__,4__10_B____2_IT_1,4_280,4_280_,4_280_760
7,4_336284_281__761_I,20150709,4,336284,102,10b,1,1,281,,761,4,TI,I,MANUEL DE FALLA,28,006,ALCOBENDAS,B1,Calle   Manuel de Falla N 59,20070425,20070426,,1108.192303689,37.18,4,93,265,,,4__10_B____1_IT_1_4_281__761_TI_I_4,,,,4__10_B__,4__10_B____1_IT_1,4_281,4_281_,4_281_761
8,4_336285_281__762_I,20150709,4,336285,102,10b,2,1,281,,762,8,TI,I,MANUEL DE FALLA,28,006,ALCOBENDAS,B1,Calle   Manuel de Falla N 59,20070425,20070426,,1525.36804580127,37.18,4,93,265,,,4__10_B____2_IT_1_4_281__762_TI_I_8,,,,4__10_B__,4__10_B____2_IT_1,4_281,4_281_,4_281_762
9,4_336280_204__425_I,20150709,4,336280,101,10a,1,1,204,,425,20,TI,I,JOAQUIN VILUMBRALES,28,007,ALCORCON,B1,Avda de la Libertad N 13,20070425,20070426,,3272.36404486616,31.12,4,93,240,,,4__10_A____1_IT_1_4_204__425_TI_I_20,,,,4__10_A__,4__10_A____1_IT_1,4_204,4_204_,4_204_425
10,4_336281_204__426_I,20150709,4,336281,101,10a,2,1,204,,426,2,TI,I,JOAQUIN VILUMBRALES,28,007,ALCORCON,B1,Avda de la Libertad N 13,20070425,20070426,,721.744,31.12,4,93,240,,,4__10_A____2_IT_1_4_204__426_TI_I_2,,,,4__10_A__,4__10_A____2_IT_1,4_204,4_204_,4_204_426
