index,Date,Latitude,Longitude,Magnitude
0,01/02/1965,19.246,145.616,6.0
1,01/04/1965,1.863,127.352,5.8
2,01/05/1965,-20.579,-173.972,6.2
3,01/08/1965,-59.076,-23.557,5.8
4,01/09/1965,11.938,126.427,5.8
5,01/10/1965,-13.405,166.62900000000002,6.7
6,01/12/1965,27.357,87.867,5.9
7,01/15/1965,-13.309,166.21200000000002,6.0
8,01/16/1965,-56.452,-27.043000000000003,6.0
9,01/17/1965,-24.563,178.487,5.8
10,01/17/1965,-6.807,108.988,5.9
11,01/24/1965,-2.608,125.952,8.2
12,01/29/1965,54.636,161.703,5.5
13,02/01/1965,-18.697,-177.864,5.6
14,02/02/1965,37.523,73.251,6.0
15,02/04/1965,-51.84,139.741,6.1
16,02/04/1965,51.251000000000005,178.715,8.7
17,02/04/1965,51.639,175.055,6.0
18,02/04/1965,52.528,172.007,5.7
19,02/04/1965,51.626000000000005,175.74599999999998,5.8
20,02/04/1965,51.037,177.84799999999998,5.9
21,02/04/1965,51.73,173.975,5.9
22,02/04/1965,51.775,173.058,5.7
23,02/04/1965,52.611,172.588,5.7
24,02/04/1965,51.831,174.368,5.7
25,02/04/1965,51.948,173.96900000000002,5.6
26,02/04/1965,51.443000000000005,179.605,7.3
27,02/04/1965,52.773,171.97400000000002,6.5
28,02/04/1965,51.772,174.696,5.6
29,02/04/1965,52.975,171.09099999999998,6.4
30,02/04/1965,52.99,170.87400000000002,5.8
31,02/04/1965,51.536,175.045,5.8
32,02/04/1965,13.245,-44.922,5.8
33,02/04/1965,51.812,174.206,5.7
34,02/05/1965,51.762,174.84099999999998,5.7
35,02/05/1965,52.438,174.321,6.3
36,02/05/1965,51.946000000000005,173.84,5.7
37,02/05/1965,51.738,174.56599999999997,6.0
38,02/05/1965,51.487,176.558,5.6
39,02/06/1965,53.008,-162.00799999999998,6.4
40,02/06/1965,52.184,175.505,6.2
41,02/06/1965,52.076,172.918,5.6
42,02/06/1965,51.744,175.213,5.7
43,02/06/1965,52.057,174.116,5.7
44,02/06/1965,53.191,-161.859,6.3
45,02/06/1965,51.447,176.46900000000002,5.8
46,02/07/1965,51.258,173.393,5.7
47,02/07/1965,52.031000000000006,175.41099999999997,5.7
48,02/07/1965,51.294,179.092,5.8
49,02/08/1965,55.223,165.426,5.9
50,02/09/1965,-18.718,169.386,5.6
51,02/09/1965,52.815,171.90400000000002,6.0
52,02/12/1965,52.188,172.752,5.8
53,02/15/1965,51.00899999999999,179.325,5.8
54,02/15/1965,3.026,125.951,5.9
55,02/16/1965,38.908,142.095,5.7
56,02/17/1965,51.694,176.446,5.7
57,02/17/1965,21.527,143.08100000000002,5.6
58,02/18/1965,25.011,94.186,5.6
59,02/18/1965,-7.251,126.715,5.9
60,02/18/1965,51.415,179.358,5.8
61,02/21/1965,-15.343,-172.889,5.8
62,02/23/1965,-25.633000000000003,-70.679,7.0
63,02/25/1965,-5.461,151.98,6.2
64,02/25/1965,51.88399999999999,173.072,6.2
65,02/26/1965,6.746,-72.971,5.6
66,02/27/1965,28.133000000000003,-112.208,6.0
67,03/01/1965,-5.377000000000001,152.115,5.9
68,03/01/1965,21.104,121.218,5.7
69,03/01/1965,-5.371,152.055,5.5
70,03/01/1965,21.122,121.148,5.6
71,03/01/1965,52.20399999999999,173.91099999999997,5.7
72,03/01/1965,15.404000000000002,-92.623,5.6
73,03/02/1965,38.399,28.226,5.8
74,03/03/1965,-27.145,-177.262,5.6
75,03/03/1965,-5.513999999999999,151.819,6.7
76,03/03/1965,53.04600000000001,171.308,6.3
77,03/04/1965,-5.487,146.993,5.7
78,03/05/1965,50.928,179.511,5.5
79,03/05/1965,52.39,174.937,5.6
80,03/05/1965,-27.027,-63.214,5.8
81,03/05/1965,52.416,174.239,5.6
82,03/06/1965,-18.425,-132.923,5.6
83,03/06/1965,20.13,121.461,5.8
84,03/07/1965,-29.998,-177.968,6.0
85,03/09/1965,39.197,23.86,6.1
86,03/13/1965,53.292,-162.33100000000002,5.7
87,03/14/1965,36.405,70.72399999999999,7.4
88,03/15/1965,22.635,121.117,5.8
89,03/16/1965,40.697,143.032,6.4
90,03/17/1965,52.785,171.821,6.0
91,03/18/1965,-20.036,-175.89,6.3
92,03/18/1965,-55.857,-26.758000000000003,5.7
93,03/19/1965,-1.887,119.836,6.0
94,03/21/1965,-1.547,126.623,6.3
95,03/22/1965,-15.262,-173.25400000000002,6.5
96,03/22/1965,-31.974,-71.57300000000001,6.2
97,03/23/1965,-15.382,-173.19400000000002,6.2
98,03/24/1965,8.418,126.553,5.7
99,03/28/1965,55.26,161.904,5.8
100,03/28/1965,-32.522,-71.233,7.4
101,03/29/1965,40.687,142.915,6.4
102,03/30/1965,-20.502,-173.701,5.9
103,03/30/1965,50.282,177.959,7.6
104,03/31/1965,38.365,22.405,6.8
105,04/01/1965,9.986,125.896,5.9
106,04/03/1965,15.8,-98.067,5.8
107,04/04/1965,51.865,175.172,5.7
108,04/04/1965,-27.088,-176.046,5.6
109,04/05/1965,37.505,22.067,6.1
110,04/05/1965,44.812,150.871,5.7
111,04/06/1965,36.083,139.968,5.7
112,04/06/1965,-0.4629999999999999,120.039,6.2
113,04/08/1965,52.192,173.437,6.1
114,04/09/1965,-32.707,-178.207,6.0
115,04/09/1965,35.047,24.318,6.2
116,04/10/1965,-20.455,-173.62099999999998,5.7
117,04/10/1965,-17.857,-178.646,6.5
118,04/10/1965,-13.409,170.37599999999998,6.3
119,04/11/1965,-42.692,174.205,5.9
120,04/11/1965,-26.168000000000003,178.628,5.7
121,04/12/1965,30.317,138.702,5.6
122,04/15/1965,25.08,122.897,5.6
123,04/16/1965,64.572,-160.375,6.0
124,04/18/1965,41.46,-127.416,5.9
125,04/18/1965,-59.687,-26.454,6.1
126,04/18/1965,-59.586000000000006,-26.372,6.1
127,04/19/1965,34.848,138.332,6.0
128,04/24/1965,11.451,140.231,5.8
129,04/25/1965,24.409,142.776,6.0
130,04/26/1965,-1.733,126.568,5.7
131,04/26/1965,54.157,-162.59,5.6
132,04/26/1965,21.045,120.798,6.1
133,04/27/1965,-6.822,129.504,6.0
134,04/27/1965,35.626,23.425,6.1
135,04/27/1965,1.3330000000000002,-85.075,5.8
136,04/29/1965,47.288,-122.406,6.7
137,04/29/1965,-5.547999999999999,110.332,6.0
138,05/01/1965,60.35,-146.17600000000002,5.6
139,05/02/1965,28.927,128.769,5.8
140,05/03/1965,-32.537,-70.569,5.8
141,05/03/1965,13.683,-89.07,5.9
142,05/03/1965,-24.281,-67.92699999999999,5.7
143,05/04/1965,41.801,79.414,6.2
144,05/12/1965,-3.523,137.924,5.7
145,05/12/1965,-6.174,130.358,6.1
146,05/15/1965,-4.131,134.946,5.8
147,05/16/1965,5.268,125.467,5.9
148,05/17/1965,22.336,121.248,6.7
149,05/19/1965,-8.937999999999999,159.083,5.6
150,05/19/1965,-6.575,105.311,5.6
151,05/19/1965,-4.819,152.436,5.5
152,05/20/1965,-14.921,167.34,7.7
153,05/22/1965,1.3090000000000002,126.239,5.7
154,05/22/1965,-21.126,-178.537,6.1
155,05/23/1965,52.149,175.11900000000003,6.0
156,05/24/1965,13.174,124.604,5.9
157,05/25/1965,51.227,178.882,5.8
158,05/26/1965,-55.957,-27.875,6.0
159,05/31/1965,-7.566,128.578,5.9
160,06/02/1965,-23.54,-179.917,5.7
161,06/02/1965,15.674,-46.712,5.9
162,06/05/1965,-1.649,126.552,5.6
163,06/11/1965,51.88399999999999,174.015,5.6
164,06/11/1965,44.608,149.02200000000002,7.0
165,06/11/1965,44.578,148.69899999999998,7.2
166,06/11/1965,44.133,149.255,5.5
167,06/11/1965,44.112,149.539,5.6
168,06/11/1965,44.299,149.032,5.7
169,06/12/1965,44.167,149.87,5.6
170,06/12/1965,43.775,149.44799999999998,5.7
171,06/12/1965,43.804,149.351,5.7
172,06/12/1965,43.885,149.339,5.5
173,06/12/1965,-20.38,-68.944,5.9
174,06/13/1965,41.705,143.727,6.1
175,06/13/1965,37.718,29.378,5.9
176,06/14/1965,-39.902,45.55,5.6
177,06/15/1965,-38.08,177.442,5.9
178,06/15/1965,-21.025,173.574,6.2
179,06/17/1965,32.052,87.78399999999999,5.9
180,06/20/1965,44.505,149.218,5.6
181,06/20/1965,42.973,-126.652,5.5
182,06/21/1965,28.134,55.891000000000005,5.9
183,06/22/1965,7.175,123.613,6.3
184,06/23/1965,56.543,-152.94799999999998,6.5
185,06/24/1965,7.034,126.25,5.8
186,06/27/1965,-54.437,4.965,5.7
187,06/27/1965,60.281000000000006,-141.418,6.5
188,06/27/1965,23.764,121.56,5.9
189,06/28/1965,-5.01,153.06,6.0
190,06/30/1965,-1.734,126.53,5.8
191,06/30/1965,51.813,176.53,5.7
192,07/01/1965,-63.159,-163.707,6.1
193,07/02/1965,52.99,-167.739,7.8
194,07/03/1965,22.338,101.496,5.9
195,07/06/1965,-22.567,172.93900000000002,5.8
196,07/06/1965,38.384,22.545,6.3
197,07/06/1965,46.591,152.467,5.6
198,07/06/1965,-4.408,155.062,6.3
199,07/07/1965,-6.819,105.505,5.7
200,07/12/1965,-28.428,-68.25,5.7
201,07/15/1965,7.74,123.811,6.0
202,07/17/1965,-9.72,159.888,5.9
203,07/20/1965,7.56,124.247,5.7
204,07/21/1965,53.318000000000005,170.365,5.5
205,07/25/1965,1.813,99.276,5.5
206,07/25/1965,41.278,146.68200000000002,5.6
207,07/25/1965,51.472,175.894,5.7
208,07/28/1965,-2.335,101.767,5.6
209,07/29/1965,51.05,-171.28900000000002,6.8
210,07/29/1965,50.799,-171.607,5.7
211,07/29/1965,51.076,-171.46599999999998,5.6
212,07/30/1965,6.789,-72.907,5.6
213,08/01/1965,-32.441,-178.803,5.9
214,08/02/1965,-56.04600000000001,157.922,7.3
215,08/03/1965,-7.526,-81.179,5.7
216,08/05/1965,-5.212999999999999,151.701,6.5
217,08/11/1965,-15.449000000000002,166.98,7.2
